;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
346;Das Goldmacherdorf;Zschokke, Heinrich;1817;m;42250
347;Das Schloß im Moor;Achleitner, Arthur;1903;m;50877
348;Haus Nummer 37;Adolph, Karl;1908;m;102954
349;Anatewka;Alejchem, Scholem;1894;m;56616
350;Cabanis;Alexis, Willibald;1832;m;126759
351;Isegrimm;Alexis, Willibald;1854;m;228551
352;Der Roland von Berlin – Erster Band;Alexis, Willibald;1840;m;71665
353;Der Roland von Berlin – Zweiter Band;Alexis, Willibald;1840;m;67722
354;Der Roland von Berlin – Dritter Band;Alexis, Willibald;1840;m;80775
355;Walladmor;Alexis, Willibald;1824;m;152005
356;Der Werwolf;Alexis, Willibald;1848;m;65460
357;Der Werwolf;Alexis, Willibald;1848;m;78392
358;Der falsche Woldemar;Alexis, Willibald;1842;m;220349
359;Hollin's Liebeleben;Arnim, Achim von;1802;m;26129
360;Der Schuhmeier;Ascher, Robert;1890;m;115617
361;Auf der Höhe Band I;Auerbach, Berthold;1865;m;75079
362;Auf der Höhe Zweiter Band;Auerbach, Berthold;1871;m;67143
363;Auf der Höhe Dritter Band;Auerbach, Berthold;1871;m;56069
364;Auf der Höhe Vierter Band;Auerbach, Berthold;1871;m;65027
365;Das Landhaus am Rhein / Band I;Auerbach, Berthold;1869;m;61656
366;Das Landhaus am Rhein / Band II;Auerbach, Berthold;1869;m;70844
367;Das Landhaus am Rhein / Band III;Auerbach, Berthold;1869;m;48349
368;Das Landhaus am Rhein / Band IV;Auerbach, Berthold;1869;m;75989
369;Das Landhaus am Rhein / Band V;Auerbach, Berthold;1869;m;52256
370;Landolin von Reutershöfen;Auerbach, Berthold;1878;m;56695
371;Aus dem Leben und den Schriften des Magisters Herle, und seines Freundes Mänle;Aurbacher, Ludwig;1842;m;25064
372;Die Hexe Drut;Bahr, Hermann;1919;m;129578
373;Himmelfahrt;Bahr, Hermann;1916;m;89024
374;O Mensch!;Bahr, Hermann;1910;m;74218
375;Die Rahl;Bahr, Hermann;1909;m;73888
376;Theater;Bahr, Hermann;1897;m;44107
377;Der gestohlene Mond;Barlach, Ernst;1896;m;78911
378;Graf Udo Bodo;Baudissin, Wolf Graf von;1920;m;70351
379;Der Dunkelgraf;Bechstein, Ludwig;1882;m;156139
380;Die Nonnensusel;Becker, August;1828;m;117159
381;Die Heimkehr;Bentzon, Therese;1916;f;56603
382;Die Bräutigame der Babette Bomberling;Berend, Alice;1915;f;32711
383;Frau Hempels Tochter;Berend, Alice;1912;f;47586
384;Die Reise des Herrn Sebastian Wenzel;Berend, Alice;1912;f;43671
385;Hemmungslos;Bettauer, Hugo;1920;m;38965
386;Pankrazius Graunzer;Bierbaum, Otto Julius;1896;m;55461
387;Prinz Kuckuck;Bierbaum, Otto Julius;1906;m;236900
388;Das Schöne Mädchen von Pao;Bierbaum, Otto Julius;1899;m;33715
389;Die Schlangendame;Bierbaum, Otto Julius;1896;m;18611
390;Studenten-Beichten;Bierbaum, Otto Julius;1893;m;27313
391;Die Leuenhofer;Bindschedler, Ida;1919;f;68092
392;Die Turnachkinder im Sommer;Bindschedler, Ida;1906;f;62216
393;Die Turnachkinder im Winter;Bindschedler, Ida;1909;f;58221
394;Moderne Novellen;Birt, Theodor;1844;m;38113
395;Bismarck – Band 1;Bleibtreu, Karl;1881;m;201110
396;Dilettanten des Lasters;Blüthgen, Clara;1902;f;58691
397;Nachtwachen;Bonaventura;1804;m;43020
398;Annas Ehe;Boy-Ed, Ida;1900;f;67067
399;Empor!;Boy-Ed, Ida;1892;f;57915
400;Ein königlicher Kaufmann;Boy-Ed, Ida;1911;f;94101
401;Die Opferschale;Boy-Ed, Ida;1915;f;94418
402;Um ein Weib;Boy-Ed, Ida;1906;f;83446
403;Friedemann Bach;Brachvogel, Albert Emil;1858;m;85821
404;Die Tochter des Kunstreiters;Brackel, Ferdinande Freiin von;1875;f;95671
405;Geschichten aus der Jugendzeit;Braun, Isabella;1852;f;41157
406;Die Liebesbriefe der Marquise;Braun, Lily;1912;f;85564
407;Ein Mönchsleben aus der empfindsamen Zeit;Bronner, Franz Xaver;1912;m;112835
